text,head,tail,url,date
John Hanson to Philip Thomas ,John Hanson,Philip Thomas,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018441)),1782-04-10
John Morin Scott to George Clinton ,John Morin Scott,George Clinton,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018459)),1782-04-23
"Jesse Root to Jonathan Trumbull, Sr. ",Jesse Root,"Jonathan Trumbull, Sr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018484)),1782-05-13
John Hanson to Philip Thomas ,John Hanson,Philip Thomas,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018504)),1782-05-27
Charles Thomson to Robert Morris ,Charles Thomson,Robert Morris,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018527)),1782-06-04
Charles Thomson to Robert R. Livingston ,Charles Thomson,Robert R. Livingston,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018547)),1782-06-14
Elias Boudinot to Hannah Boudinot ,Elias Boudinot,Hannah Boudinot,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018566)),1782-06-25
Arthur Lee to Francis Dana ,Arthur Lee,Francis Dana,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018587)),1782-07-06
John Taylor Gilman to Meshech Weare ,John Taylor Gilman,Meshech Weare,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018607)),1782-07-17
James Madison to Edmund Randolph ,James Madison,Edmund Randolph,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg018635)),1782-07-30
John Hancock to George Washington ,John Hancock,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00723)),NA
Philip Schuyler to George Washington ,Philip Schuyler,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00741)),1777-05-07
Elbridge Gerry to Thomas Gerry ,Elbridge Gerry,Thomas Gerry,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00766)),1777-05-13
Board of War to George Washington ,Board of War,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00789)),NA
John Adams to Abigail Adams ,John Adams,Abigail Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007110)),NA
George Walton to George Washington ,George Walton,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007130)),NA
Francis Lewis to the New York Council of Safety ,Francis Lewis,the New York Council of Safety,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007157)),1777-06-07
Samuel Adams to Elizabeth Adams ,Samuel Adams,Elizabeth Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007183)),1777-06-17
William Duer to Philip Schuyler ,William Duer,Philip Schuyler,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007205)),1777-06-19
Jonathan Elmer to Ebenezer Elmer ,Jonathan Elmer,Ebenezer Elmer,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007230)),NA
Jonathan Elmer to George Washington ,Jonathan Elmer,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007250)),1777-07-02
George Frost to Josiah Bartlett ,George Frost,Josiah Bartlett,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007272)),1777-07-07
Robert Morris to John Langdon ,Robert Morris,John Langdon,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007292)),1777-07-10
Robert Morris to William Patterson ,Robert Morris,William Patterson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007310)),NA
Board of War to George Washington ,Board of War,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007327)),1777-07-24
James Lovell to Joseph Whipple ,James Lovell,Joseph Whipple,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007347)),1777-07-29
"William Williams to Jonathan Trumbull, Sr. ",William Williams,"Jonathan Trumbull, Sr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007365)),1777-08-02
John Adams to Abigail Adams ,John Adams,Abigail Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007383)),1777-08-06
John Adams to Abigail Adams ,John Adams,Abigail Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007402)),1777-08-14
